type,sequence
train,17-18
train,3-5-6-4
train,17-18
train,3-36-4
test,3-4
train,17-18
train,3-5-6-4
train,17-18
train,3-4
train,3-4
validation,3-4
train,3-4
validation,5-3-6-4
train,3-4
train,3-5-6-4
train,5-3-6-5-6-4
train,3-4
train,3-5-6-4
train,3-5-6-4
train,3-4
test,17-18
train,3-4
train,3-4
train,3-4
train,3-4
validation,36-17-18
test,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
test,17-18
validation,3-4
train,17-18
train,3-4
train,3-5-6-5-6-4
train,5-3-6-4
test,17-18
test,3-5-6-4
train,3-36-4
test,17-18
train,3-24-25-0-2-0-2-0-2-0-2-5-28-28-35-6-35-0-34-35-2-0-28-2-5-28-35-6-35-4
train,3-4
train,17-18
validation,3-4
train,3-4
test,17-18
train,3-0-2-5-6-0-2-0-2-5-6-5-6-4
validation,3-4
train,0-3-2-5-6-4
train,3-4
train,17-18
train,3-4
train,3-4
train,3-4
test,3-5-6-4
train,17-18
validation,3-4
test,3-4
validation,3-4
train,3-4
train,5-3-6-4
validation,17-18
train,3-4
train,17-18
train,3-5-6-4
train,3-5-6-4
train,3-4
validation,3-4
train,5-6-3-5-36-36-28-28-35-35-29-34-28-28-4
train,28-6-35-35-35-5-3-6-4
train,17-5-28-28-6-18
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-40-40-41-40-40-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-3-4
train,3-4
train,3-5-6-5-6-5-6-5-6-4
train,3-4
test,17-18
train,3-5-6-4
train,3-4
train,17-18
train,3-5-6-4
train,17-18
train,3-0-2-0-2-5-6-0-2-0-2-5-6-4
train,3-4
train,17-18
train,3-5-6-5-6-4
train,5-3-6-4
train,3-4
train,17-18
train,3-4
validation,5-3-6-4
train,3-4
train,3-5-6-5-6-36-4
test,3-5-6-4
train,3-4
test,3-4
train,3-4
train,3-35-28-29-4
train,3-35-5-4
train,6-3-0-2-0-5-2-6-0-5-2-6-4
train,3-4
train,3-4
train,3-4
train,5-3-6-4
train,3-4
train,5-3-6-5-6-5-6-5-6-4
test,3-4
train,5-3-6-4
train,3-36-4
train,5-3-6-35-29-35-35-4
train,5-3-28-4
train,6-35-3-4
validation,3-4
train,3-4
train,3-4
train,9-9-3-4
train,5-3-28-35-6-28-4
train,3-35-35-4
train,28-17-18
train,3-5-28-6-4
validation,34-17-18
test,35-35-35-3-5-6-5-6-4
train,17-18
test,3-4
train,3-5-29-6-35-35-35-5-6-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-19-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-21-21-21-21-21-21-21-21-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-20-4
train,19-19-19-19-19-19-19-19-19-3-4
train,17-18
train,3-4
train,5-3-6-4
train,5-3-6-4
train,3-4
train,3-4
validation,17-18
validation,3-4
train,3-5-6-4
train,3-36-5-6-4
validation,17-18
train,3-5-6-4
train,17-18
train,3-28-34-5-6-4
train,17-18
