type,sequence
train,1-1-3-4
validation,14-8-3-8-5-6-4
train,14-3-5-6-4
test,14-8-8-5-3-6-5-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-3-5-6-4
train,14-8-3-8-4
train,8-8-3-5-4
test,6-1-1-1-1-1-5-3-4
train,3-6-4
train,1-1-1-48-67-48-67-1-8-8-1-3-5-6-4
train,14-3-5-6-4
train,12-12-12-12-12-12-5-3-4
train,3-6-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,61-12-1-1-12-12-12-3-4
test,3-5-11-11-11-11-11-11-11-11-11-11-6-4
train,14-27-27-16-43-28-5-11-11-6-3-4
train,3-4
test,5-11-11-6-8-8-3-4
train,5-11-11-6-8-8-3-4
train,8-8-8-8-8-8-3-4
train,8-8-3-4
validation,3-4
test,3-4
test,5-6-3-4
train,3-4
train,3-4
validation,5-6-11-11-5-11-11-6-5-11-3-4
train,11-11-11-11-11-6-3-5-11-11-11-11-11-11-11-11-11-11-11-11-6-4
train,1-1-57-65-38-39-66
train,38-57-38-39-65-57-66
test,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-38-39-57-65-66
train,38-39-38-39-38-57-65-38-39-38-38-39-38-66
train,38-39-38-38-39-1-14-14-14-5-11-11-11-11-6-3-4
train,14-14-1-1-14-5-11-11-11-3-11-11-11-11-11-6-4
train,38-39-38-39-38-39-38-39-57-65-66
train,5-11-11-6-5-11-11-6-5-11-11-6-38-39-57-65-66
train,38-39-38-38-39-38-38-39-5-11-11-6-1-1-1-5-11-11-6-3-4
train,5-11-11-6-3-4
train,38-39-38-39-38-39-57-65-38-66
train,38-39-38-57-38-39-57-65-66
train,38-57-38-39-38-39-57-65-38-39-38-66
train,38-57-38-39-1-5-11-11-6-5-11-11-11-11-11-11-11-11-6-3-4
train,5-11-11-11-11-6-11-11-11-11-5-11-11-11-11-11-11-6-3-4
validation,57-65-38-39-66
test,38-57-38-39-57-65-66
train,38-57-38-39-1-3-4
train,65-57-38-39-66
train,38-57-38-39-65-57-66
train,38-57-38-39-1-1-1-1-14-3-4
train,14-5-11-3-11-6-11-11-5-11-11-11-11-11-11-11-11-11-11-6-4
train,5-11-11-11-11-6-65-57-38-39-66
train,38-57-38-39-65-57-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-39-57-65-38-39-66
train,38-57-38-39-1-1-1-57-38-65-38-38-39-66
test,38-57-38-39-65-57-66
test,1-1-1-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-12-12-12-12-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
validation,5-11-11-3-11-11-11-11-6-4
train,14-5-11-3-11-6-4
train,5-11-3-11-11-11-6-4
train,3-5-11-11-11-11-6-4
train,3-5-11-11-6-4
test,3-5-11-11-11-11-11-11-11-11-6-4
train,3-4
train,5-11-3-11-6-4
train,3-5-11-11-11-11-11-11-11-11-6-4
train,5-11-3-11-11-11-11-11-11-4
train,11-6-27-27-16-5-11-11-6-5-11-3-11-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-39-38-39-38-38-39-38-38-39-38-39-66
train,38-57-38-39-57-65-66
validation,1-1-57-65-38-39-66
train,38-57-38-39-65-57-66
train,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-66
train,38-39-38-57-38-39-57-65-66
train,1-1-1-1-1-1-5-11-3-11-11-11-11-11-6-4
train,57-65-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-1-57-65-38-39-66
validation,38-57-38-39-57-65-66
train,1-1-3-4
train,6-14-1-1-5-11-11-11-11-11-3-11-11-11-11-11-6-4
train,5-11-3-11-11-11-11-11-6-4
train,1-1-57-65-38-39-66
test,38-57-38-38-39-38-39-57-65-66
train,14-1-1-1-1-5-6-5-6-14-3-5-6-5-6-5-6-5-6-4
train,14-5-3-6-4
train,3-5-6-4
test,3-4
train,14-5-3-6-4
train,3-4
train,5-1-1-6-65-57-38-39-66
train,38-57-38-39-38-39-65-57-66
train,3-4
validation,57-65-66
train,5-3-6-5-6-4
train,1-1-1-1-65-57-38-39-38-38-39-66
test,1-1-57-57-65-66
test,65-66
train,57-57-65-38-66
train,65-38-39-66
train,38-39-38-39-38-38-39-1-1-1-1-3-4
test,3-4
train,3-4
train,3-4
test,57-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-39-66
validation,65-66
train,1-1-1-1-57-57-65-66
train,65-66
train,1-1-1-1-57-57-65-38-39-38-38-39-38-38-39-38-39-66
train,65-66
test,38-57-38-57-38-39-38-39-38-39-38-38-39-38-65-57-57-66
train,65-38-39-66
train,1-1-1-3-28-34-35-34-29-4
train,28-29-28-3-4
validation,3-4
train,35-34-35-29-3-29-34-35-4
train,35-35-29-29-35-35-34-35-29-35-29-35-29-3-28-29-4
test,35-28-29-35-29-28-3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,57-65-66
train,5-11-11-6-5-6-44-44-5-11-11-11-11-6-5-11-11-11-11-11-11-11-11-6-5-11-11-6-5-11-11-11-11-6-5-11-11-11-11-6-5-11-11-11-11-6-12-12-12-12-12-12-12-12-12-12-1-1-1-1-14-5-11-11-11-11-11-11-11-11-6-5-11-11-11-11-11-11-11-11-11-11-11-11-11-11-6-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-57-65-66
train,38-57-38-39-1-1-5-11-11-11-11-11-11-11-11-6-5-11-11-11-11-6-5-11-11-11-11-6-5-6-14-14-14-14-5-11-11-6-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
test,8-8-8-8-8-1-1-8-8-8-8-3-4
train,8-8-8-3-4
train,3-8-8-8-8-8-8-8-4
train,8-8-14-5-6-5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,8-8-1-1-12-12-12-12-12-12-8-8-8-8-3-14-5-6-14-5-6-5-4
train,14-3-6-14-5-6-4
train,5-14-3-4
train,3-6-4
train,5-6-3-4
train,5-3-4
train,3-4
train,6-5-3-6-4
train,65-57-66
train,1-1-1-1-1-57-65-66
test,38-39-1-1-65-57-38-39-38-39-38-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-1-1-14-5-6-5-3-6-4
validation,5-6-65-57-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,1-1-14-3-4
train,5-3-6-4
test,57-65-38-39-66
train,38-57-38-39-57-65-66
train,8-8-1-1-14-5-3-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,1-1-57-65-38-39-66
train,3-4
train,14-3-4
validation,1-57-65-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-38-39-65-66
train,1-1-1-14-5-3-6-4
train,5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-65-57-66
train,1-57-65-38-39-38-39-66
train,38-57-38-39-65-57-66
validation,6-1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,14-1-1-5-11-3-11-6-5-11-11-11-11-6-4
train,3-4
validation,3-5-11-11-6-4
train,5-11-11-11-11-6-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,14-1-1-3-5-6-4
train,5-3-6-5-6-4
validation,5-11-11-6-5-11-11-6-5-3-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-65-57-66
train,14-1-1-1-1-3-4
train,5-3-11-11-6-5-11-11-6-5-6-5-6-4
train,3-5-6-5-4
train,11-3-11-11-11-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-57-65-66
test,14-1-1-3-27-27-27-5-6-4
train,5-6-38-57-38-38-39-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-57-65-66
test,1-1-3-4
train,5-3-6-5-6-4
train,14-5-3-6-4
train,5-6-5-6-57-65-38-39-38-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-65-57-66
test,14-1-1-5-11-11-6-3-4
train,12-12-5-12-6-3-12-5-11-27-11-11-11-6-4
train,5-11-11-6-3-5-11-11-6-4
train,5-3-6-4
validation,56-14-5-11-3-11-11-11-6-4
train,3-4
train,5-6-5-3-6-4
train,5-11-11-3-11-11-4
train,6-5-6-5-3-11-11-11-11-6-24-25-5-11-11-11-11-11-11-6-4
train,5-6-14-5-6-5-3-6-4
train,1-1-5-3-6-56-4
test,27-27-3-5-11-11-6-4
train,14-5-11-3-11-6-4
test,5-3-6-4
train,5-3-6-4
test,65-57-38-39-38-38-39-38-38-39-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-38-39-38-39-57-65-66
train,1-5-3-6-4
train,14-5-3-6-4
train,5-3-6-4
train,5-3-6-4
train,5-3-6-5-4
train,3-6-4
train,57-65-38-39-38-38-39-38-38-39-38-66
train,57-38-39-57-65-66
train,14-1-1-5-11-3-11-11-4
train,11-3-11-11-6-28-29-5-6-4
validation,5-11-11-11-11-6-5-3-6-4
validation,65-57-38-39-38-38-39-38-38-39-38-38-39-66
test,38-57-38-39-38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-57-65-66
train,5-11-3-11-11-11-11-11-6-5-6-5-11-11-6-5-11-11-6-4
train,5-11-3-11-11-11-6-5-6-4
train,38-39-65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-57-38-39-38-39-38-38-39-38-38-39-57-65-66
train,14-1-1-3-4
test,5-6-3-27-27-5-6-5-4
train,11-11-6-5-6-5-3-11-11-6-4
train,5-6-5-6-3-4
test,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-57-65-66
train,14-1-1-3-5-11-11-6-4
train,5-3-6-5-11-11-6-4
train,38-57-38-38-39-65-57-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-57-65-66
train,1-1-3-5-6-5-6-5-6-4
train,14-3-5-4
train,6-5-3-6-4
train,5-11-11-6-3-4
train,3-4
train,5-3-6-5-6-4
train,5-3-11-11-11-11-11-11-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-65-57-66
train,14-1-1-3-5-6-4
train,5-3-11-11-6-4
test,27-27-27-27-57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-57-65-38-39-66
train,14-1-1-5-3-11-11-11-11-11-11-11-11-6-5-6-5-11-11-6-4
train,3-5-11-11-11-11-11-11-11-4
train,11-11-11-6-65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,14-1-1-5-3-6-4
train,5-11-11-11-11-11-11-6-5-6-5-11-11-6-5-3-6-4
validation,65-57-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-57-38-57-38-39-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-57-65-66
train,1-1-57-65-38-39-38-39-38-39-38-38-39-38-39-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,14-1-1-5-11-3-11-11-11-6-5-6-5-11-11-11-11-6-4
train,65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
validation,14-1-1-1-5-11-3-11-11-11-6-4
train,5-11-3-11-11-11-6-4
train,5-11-3-11-6-4
train,42-5-11-11-11-3-42-11-11-11-6-4
test,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,6-11-12-12-12-12-8-8-8-8-8-8-8-8-8-8-1-1-8-8-3-5-11-11-11-11-11-11-11-6-11-4
train,14-5-11-3-6-11-4
train,8-8-5-11-6-11-3-4
validation,8-8-3-4
train,5-11-3-11-6-4
train,5-11-3-6-11-4
test,5-11-11-11-3-11-11-11-11-11-6-4
train,57-65-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
validation,1-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
test,1-1-57-65-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,55-55-1-1-14-5-11-3-6-11-4
train,8-8-8-8-8-8-8-8-5-11-11-6-8-8-8-8-8-8-3-5-11-6-11-4
train,8-8-3-5-11-11-11-11-6-11-11-5-11-11-11-11-6-4
train,57-65-38-39-66
train,38-57-38-39-57-65-66
train,14-1-1-5-11-11-11-11-11-11-11-3-11-6-4
train,3-5-11-11-11-11-6-4
train,57-65-38-39-38-38-39-38-39-38-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-1-3-4
test,57-3-4
train,3-57-57-4
test,57-3-4
train,3-4
train,57-57-3-4
train,57-3-4
train,57-3-57-57-57-4
train,65-38-57-38-38-39-38-57-38-38-39-38-57-38-38-39-66
train,38-57-38-39-57-65-57-57-57-57-66
train,1-1-65-38-57-38-38-39-38-57-38-38-39-38-38-57-38-39-38-38-57-38-38-39-38-57-38-38-39-66
test,38-57-38-39-57-65-57-57-57-66
train,41-1-1-53-3-4
train,1-16-43-43-3-4
test,3-4
train,3-4
train,3-4
train,65-57-66
train,57-65-57-66
validation,1-1-3-4
train,27-27-16-3-4
train,65-57-66
train,57-57-65-66
train,1-1-3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,57-65-66
test,57-57-65-66
validation,1-1-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-5-6-55-55-3-5-6-4
test,55-55-5-6-3-4
train,3-4
train,12-12-12-12-3-4
train,55-55-5-6-5-6-3-4
train,5-6-3-4
train,8-8-8-8-8-8-8-8-8-8-3-4
train,5-6-3-5-6-55-55-4
train,57-65-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-57-65-66
test,8-8-23-5-6-59-23-72-85-8-8-8-1-8-8-8-1-67-5-3-6-4
train,64-8-8-64-57-65-66
train,38-39-1-1-1-64-5-6-8-8-64-3-4
validation,5-6-3-4
test,57-65-38-39-38-38-39-38-38-39-38-38-39-66
validation,38-57-38-39-65-57-66
train,1-1-8-8-3-4
train,64-8-8-64-8-8-1-1-64-14-5-6-14-5-6-5-6-1-1-1-64-5-6-64-5-6-1-5-6-5-6-8-5-8-6-5-6-1-1-1-5-6-57-38-65-38-39-38-39-38-39-38-38-39-66
train,38-57-38-39-65-57-66
train,1-1-5-6-3-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-57-65-38-66
train,1-1-1-1-1-3-4
validation,3-4
train,3-4
train,27-9-16-27-27-16-9-27-9-27-3-4
validation,65-57-66
train,1-1-57-65-66
train,1-1-1-1-1-3-4
train,28-29-28-29-28-3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,57-65-66
train,1-1-37-37-37-37-37-37-37-37-37-37-37-37-5-6-5-6-12-12-12-12-12-12-5-6-5-6-3-4
train,5-6-3-5-6-4
train,14-5-3-4
train,6-5-6-14-5-6-3-4
train,5-6-3-4
train,5-6-3-4
train,14-5-6-3-4
train,5-6-3-5-4
train,3-4
train,6-3-4
train,5-6-3-4
train,65-57-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,1-1-1-53-57-65-66
train,57-57-65-66
train,1-1-1-1-1-1-1-1-1-7-41-22-22-41-1-1-1-1-1-3-4
train,3-4
train,3-4
train,1-65-57-66
train,65-57-66
train,1-1-57-65-66
train,65-57-66
validation,41-71-71-22-22-41-71-71-71-71-93-32-93-94-71-1-1-1-1-1-1-3-4
train,57-65-66
train,57-65-66
validation,1-3-4
test,17-18
train,3-4
train,3-4
train,3-4
train,17-18
train,7-40-40-41-7-3-4
train,3-4
train,3-4
train,1-3-4
train,17-18
train,3-4
test,17-18
validation,63-63-63-3-4
train,3-4
validation,3-4
train,3-4
train,3-4
train,63-3-64-64-4
train,3-4
train,17-18
train,20-19-19-19-19-19-19-19-19-19-20-20-3-4
train,3-4
test,3-9-27-4
validation,3-9-4
train,1-17-18
train,7-23-3-9-4
train,3-9-9-4
train,3-4
train,3-4
validation,3-56-4
train,17-18
train,3-9-4
train,3-56-36-4
train,3-9-64-4
train,3-4
train,3-56-9-56-9-9-9-4
train,56-3-4
train,3-4
train,17-18
train,7-7-23-3-36-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-9-4
test,3-4
train,56-3-4
train,17-18
train,3-36-4
train,3-4
train,3-4
train,3-4
train,17-18
test,54-3-4
train,3-4
train,17-18
train,3-9-4
validation,56-3-4
train,17-18
train,3-4
train,17-18
train,63-44-52-52-44-1-1-44-51-44-51-51-51-51-1-51-51-51-51-51-51-51-44-52-52-44-44-44-44-52-52-44-49-50-49-50-5-6-1-1-47-47-5-6-45-5-46
train,6-28-28-5-29-45-28-6-29-28-46
train,28-28-45-5-6-5-6-46
test,45-46
train,51-51-51-5-45-6-46
train,51-51-51-51-51-45-46
train,45-46
test,45-46
test,45-5-6-5-6-46
train,45-5-6-46
validation,5-45-46
train,45-6-5-6-46
train,45-5-6-46
train,45-46
train,36-45-46
train,45-5-6-46
train,5-45-6-5-6-5-6-46
train,17-5-6-5-6-5-6-5-6-5-6-18
train,5-6-5-6-3-5-4
train,45-6-46
train,45-46
train,0-2-0-2-3-0-2-5-6-4
train,17-18
train,0-2-3-0-2-5-6-36-4
train,3-4
validation,3-4
train,3-4
train,3-4
test,3-4
test,3-4
train,3-5-6-5-4
train,6-3-4
train,5-3-6-36-4
validation,3-5-6-4
train,0-2-0-2-5-6-5-3-4
test,6-17-18
train,0-2-0-3-2-5-4
train,6-3-4
test,5-6-17-18
train,3-4
train,3-4
validation,3-4
train,17-5-6-18
train,3-5-6-4
train,0-2-0-5-2-3-6-4
train,17-18
train,5-6-3-4
train,3-4
train,3-4
train,3-4
test,3-4
train,5-6-5-3-6-5-6-5-6-4
train,3-4
train,3-5-6-4
train,17-18
train,3-4
train,17-18
train,3-4
test,3-4
test,17-18
train,17-18
train,3-4
train,17-18
train,3-4
train,17-18
train,3-5-6-36-4
train,3-5-4
test,3-6-4
train,17-18
validation,3-4
train,17-18
train,3-5-6-5-4
train,6-17-5-18
train,6-5-6-3-5-6-4
train,3-5-6-4
train,5-3-6-4
train,3-5-6-4
train,3-4
test,3-4
validation,17-18
train,3-4
train,3-4
validation,3-36-4
train,40-40-41-22-3-4
train,0-2-3-5-6-4
test,17-18
train,0-2-0-2-5-3-0-2-0-2-6-4
train,17-5-6-5-6-18
train,7-7-7-7-7-7-7-23-3-5-6-4
train,3-4
test,3-4
validation,40-40-41-22-3-4
train,17-18
train,3-36-4
validation,17-0-18
train,2-5-6-0-2-5-3-6-4
train,17-18
train,7-23-3-4
test,40-40-41-22-3-4
train,17-18
test,0-2-3-5-0-2-0-2-0-2-6-4
train,17-18
train,3-4
train,40-40-41-22-3-4
test,17-18
train,0-2-0-24-25-24-25-2-5-24-25-3-6-4
train,17-18
train,3-4
train,3-4
train,3-4
train,3-4
train,0-3-5-2-0-36-2-6-0-2-4
train,0-2-3-5-6-4
test,0-3-2-0-5-2-6-5-6-4
train,3-5-6-4
train,0-2-3-0-2-5-6-4
validation,17-18
train,0-2-3-5-0-2-6-4
train,5-17-6-18
train,3-5-6-36-4
test,3-4
train,3-4
train,0-3-24-2-25-5-6-4
train,0-2-0-3-5-2-4
train,6-17-18
train,3-5-6-4
train,3-4
validation,3-4
train,3-4
train,3-4
train,3-36-4
test,3-4
train,3-4
train,3-4
validation,17-18
train,0-2-5-3-6-4
test,5-6-17-18
train,3-4
train,40-40-41-22-3-36-36-36-36-36-36-36-36-36-4
train,17-18
train,3-4
train,0-2-5-3-6-4
train,0-2-3-4
train,17-18
train,3-0-2-5-6-4
train,17-18
train,3-4
train,0-2-3-4
train,5-6-5-3-6-4
train,5-6-17-18
train,3-4
train,0-2-3-4
train,0-2-3-5-4
train,6-17-18
train,3-36-36-36-36-36-36-36-36-36-36-36-4
train,3-4
validation,3-4
train,3-4
test,5-17-6-18
train,3-4
train,3-4
train,17-5-6-5-6-18
train,0-2-3-5-4
train,6-17-5-6-18
train,3-4
train,3-4
train,3-4
test,5-3-6-4
train,3-36-4
test,3-4
validation,5-6-3-4
train,0-2-3-0-4
train,2-5-3-6-4
train,17-18
validation,3-5-6-4
train,3-4
train,22-40-40-41-3-4
train,17-18
train,0-2-5-3-4
train,6-17-0-2-0-2-0-2-18
train,3-4
train,3-4
train,3-4
train,17-18
validation,0-2-3-5-6-4
train,0-2-3-4
train,17-18
train,3-36-4
train,3-4
train,3-4
train,3-4
train,0-2-0-2-17-18
validation,0-2-3-4
train,5-6-17-18
test,3-4
train,17-18
train,0-2-3-0-2-5-4
train,6-17-18
train,3-4
train,17-18
train,3-4
train,40-40-41-22-22-3-36-4
train,17-18
train,0-3-2-5-6-4
validation,0-2-17-5-0-2-0-6-2-18
train,5-6-3-4
train,40-40-41-22-3-5-6-4
validation,40-40-41-22-22-22-22-3-36-36-36-4
train,3-4
train,40-40-41-22-3-5-6-4
train,17-18
train,22-22-3-5-4
train,6-40-40-41-22-22-3-4
train,3-4
test,3-4
train,3-36-4
train,17-18
train,0-3-2-5-6-4
train,17-18
train,3-5-6-4
train,17-18
train,0-2-5-3-4
train,6-17-18
train,3-4
train,40-40-41-22-3-4
train,17-18
train,3-0-4
train,2-0-2-0-2-3-5-6-0-2-0-2-0-4
train,2-0-2-3-36-5-6-5-6-5-6-5-6-4
train,3-5-6-5-6-4
test,5-17-6-0-5-6-2-18
train,0-2-5-6-5-3-6-0-2-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-5-4
train,6-3-5-6-36-4
validation,3-4
train,5-6-3-4
test,3-4
train,3-5-6-4
train,3-4
train,3-4
train,5-6-3-4
train,3-4
train,17-18
train,3-4
test,17-18
train,3-4
train,3-4
test,3-4
train,3-4
test,3-4
test,3-4
train,3-4
train,3-36-5-6-4
train,3-4
train,3-4
train,3-4
train,3-4
test,17-18
train,0-2-0-2-3-5-6-0-2-0-2-0-2-4
train,17-18
train,3-4
train,3-4
test,17-18
train,3-4
test,3-4
train,0-17-2-5-6-18
train,3-0-2-5-6-4
train,3-4
train,17-18
train,0-3-2-5-6-0-2-4
test,17-18
train,3-36-4
train,17-18
train,3-4
train,0-17-18
train,24-25-2-0-2-5-3-6-4
train,17-18
train,3-0-2-0-2-5-6-0-2-4
train,17-18
train,3-4
train,17-18
train,0-2-0-2-3-5-6-4
validation,3-36-4
train,17-18
train,0-2-3-5-6-4
train,17-18
train,3-4
train,17-18
train,0-2-0-2-3-4
train,5-6-0-17-2-18
train,3-4
train,5-3-6-5-6-4
train,3-4
train,3-4
train,3-36-4
train,3-4
train,3-4
train,3-4
validation,3-4
train,3-4
train,5-3-6-4
train,3-4
test,3-36-4
train,3-4
train,3-4
train,3-4
train,3-4
train,17-18
train,3-36-4
train,3-0-4
train,3-4
train,2-3-5-6-4
train,0-3-2-0-2-4
test,0-3-2-4
train,0-2-0-24-25-2-24-0-2-25-3-4
train,0-2-24-0-2-25-5-3-6-36-4
train,3-5-6-4
validation,3-4
train,3-4
train,3-4
train,0-2-5-3-6-4
train,5-6-3-5-6-4
train,5-3-6-5-6-4
test,0-2-3-5-6-5-6-4
train,3-4
validation,3-5-6-4
validation,5-3-6-4
train,3-4
train,5-6-3-36-4
train,3-4
train,3-4
train,3-4
train,5-3-6-4
train,5-6-0-2-0-2-3-5-6-4
train,3-4
train,3-4
validation,3-4
train,3-4
train,3-4
train,0-2-3-5-6-4
validation,3-36-4
train,3-4
train,3-4
train,3-5-6-36-4
train,3-4
train,3-5-6-4
validation,0-2-0-2-0-2-0-2-0-3-4
test,2-5-3-6-4
train,0-2-0-2-0-2-3-5-6-36-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
test,3-4
train,0-2-5-3-6-5-6-4
test,3-4
validation,3-4
train,3-4
train,3-0-2-36-4
train,3-4
train,3-5-6-4
train,3-4
train,3-4
test,3-36-4
train,22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-3-0-2-0-2-0-2-5-6-4
train,3-4
train,3-4
train,3-4
train,0-2-5-3-6-4
validation,3-4
validation,0-2-0-2-5-3-6-4
test,0-2-5-3-6-4
validation,3-5-6-4
train,0-2-5-3-6-4
train,3-5-6-0-2-4
train,3-5-4
train,6-3-5-6-5-36-6-4
train,5-6-3-0-5-2-6-5-6-4
train,0-2-0-2-5-6-5-6-5-3-4
train,6-5-3-4
train,6-5-17-6-18
train,0-2-0-2-5-3-6-4
train,3-4
train,3-4
train,3-5-6-4
train,3-4
train,3-5-6-4
train,3-5-6-4
train,5-6-5-17-18
train,6-5-6-7-5-3-6-5-6-4
train,5-3-6-0-2-4
train,0-2-5-3-6-5-6-4
train,0-2-5-3-6-4
train,3-5-6-5-6-5-6-5-6-4
train,3-4
train,3-4
train,3-5-6-5-6-5-6-5-6-4
train,3-36-4
train,5-6-5-3-6-4
train,5-6-3-5-6-4
train,3-5-6-5-6-4
test,3-5-6-5-6-5-6-4
validation,3-5-6-5-6-5-6-5-6-36-4
train,5-6-3-4
validation,3-4
train,5-6-3-5-6-4
train,3-5-6-5-6-5-6-5-6-4
train,3-5-6-4
train,3-4
train,5-6-5-3-6-4
test,5-6-5-6-3-4
train,5-6-3-4
train,3-5-6-5-6-4
train,3-4
train,3-4
train,3-5-6-5-6-4
train,3-4
train,3-4
train,5-6-3-4
train,3-4
train,3-4
train,5-6-3-5-6-5-6-4
test,3-5-4
validation,3-6-5-6-4
train,3-5-4
test,17-6-18
train,3-36-4
train,3-5-6-5-6-4
train,17-18
train,3-5-6-4
